league,page_num,source_url,date_header,match_date,year,team1_raw,team2_raw,team1,team2,series_score,score1,score2,odd1_decimal,odd2_decimal,implied_prob1_vigfree,implied_prob2_vigfree
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,24 Jul 2025 - Fall Season,2025-07-24,2025,LNG Esports,TT Gaming,LNG Esports,TT Gaming,0-2,0,2,2.29,1.76,0.434568,0.565432
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,24 Jul 2025 - Fall Season,2025-07-24,2025,JD Gaming,Invictus Gaming,JD Gaming,Invictus Gaming,0-2,0,2,2.29,1.63,0.415816,0.584184
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,23 Jul 2025 - Fall Season,2025-07-23,2025,Weibo Gaming,Team WE,Weibo Gaming,Team WE,2-1,2,1,1.58,2.63,0.624703,0.375297
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,23 Jul 2025 - Fall Season,2025-07-23,2025,FunPlus Phoenix,Top Esports,FunPlus Phoenix,Top Esports,0-2,0,2,8.58,1.11,0.114551,0.885449
LPL,3,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/3/,21 Jul 2025 - Fall Season,2025-07-21,2025,LNG Esports,Ninjas in Pyjamas,LNG Esports,Ninjas in Pyjamas,0-2,0,2,2.55,1.53,0.375,0.625
LPL,3,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/3/,20 Jul 2025 - Fall Season,2025-07-20,2025,Weibo Gaming,Top Esports,Weibo Gaming,Top Esports,1-2,1,2,2.9,1.5,0.340909,0.659091
LPL,3,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/3/,20 Jul 2025 - Fall Season,2025-07-20,2025,TT Gaming,EDward Gaming,TT Gaming,EDward Gaming,0-2,0,2,2.36,1.57,0.399491,0.600509
LPL,3,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/3/,19 Jul 2025 - Fall Season,2025-07-19,2025,Invictus Gaming,Top Esports,Invictus Gaming,Top Esports,1-2,1,2,2.55,1.65,0.392857,0.607143
LPL,3,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/3/,19 Jul 2025 - Fall Season,2025-07-19,2025,Weibo Gaming,FunPlus Phoenix,Weibo Gaming,FunPlus Phoenix,2-1,2,1,1.29,3.96,0.754286,0.245714
LPL,3,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/3/,19 Jul 2025 - Fall Season,2025-07-19,2025,Ultra Prime,EDward Gaming,Ultra Prime,EDward Gaming,0-2,0,2,2.99,1.37,0.31422,0.68578
LPL,3,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/3/,14 Jun 2025 - Summer - Play offs,2025-06-14,2025,Anyone's Legend,Bilibili Gaming,Anyone's Legend,Bilibili Gaming,3-1,3,1,2.36,1.7,0.418719,0.581281
LPL,3,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/3/,13 Jun 2025 - Summer - Play offs,2025-06-13,2025,Bilibili Gaming,Invictus Gaming,Bilibili Gaming,Invictus Gaming,3-1,3,1,1.33,3.47,0.722917,0.277083
LPL,3,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/3/,09 Jun 2025 - Summer - Play offs,2025-06-09,2025,Bilibili Gaming,Anyone's Legend,Bilibili Gaming,Anyone's Legend,2-3,2,3,1.44,3.23,0.691649,0.308351
LPL,3,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/3/,08 Jun 2025 - Summer - Play offs,2025-06-08,2025,Top Esports,Team WE,Top Esports,Team WE,2-3,2,3,1.25,5.5,0.814815,0.185185
LPL,3,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/3/,07 Jun 2025 - Summer - Play offs,2025-06-07,2025,Weibo Gaming,Invictus Gaming,Weibo Gaming,Invictus Gaming,1-3,1,3,2.03,1.95,0.48995,0.51005
LPL,3,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/3/,05 Jun 2025 - Summer - Play offs,2025-06-05,2025,Team WE,JD Gaming,Team WE,JD Gaming,3-1,3,1,6.5,1.15,0.150327,0.849673
