gameid,league,date,time_min,gold_diff,xp_diff,cs_diff,kill_diff,prior_p_blue,blue_wins
LOLTMNT03_338544,LCK,2026-01-21T13:00:21+00:00,10,222.0,1492.0,43.0,-3,0.635891568542704,1
LOLTMNT03_338544,LCK,2026-01-21T13:00:21+00:00,15,760.0,532.0,67.0,-4,0.635891568542704,1
LOLTMNT03_338544,LCK,2026-01-21T13:00:21+00:00,20,645.0,1256.0,93.0,-6,0.635891568542704,1
LOLTMNT03_338544,LCK,2026-01-21T13:00:21+00:00,25,8675.0,6811.0,83.0,0,0.635891568542704,1
LOLTMNT03_339583,LCK,2026-01-22T08:05:25+00:00,10,697.0,319.0,23.0,0,0.900410812888168,1
LOLTMNT03_339583,LCK,2026-01-22T08:05:25+00:00,15,2088.0,1231.0,49.0,0,0.900410812888168,1
LOLTMNT03_339583,LCK,2026-01-22T08:05:25+00:00,20,4622.0,3393.0,97.0,-1,0.900410812888168,1
LOLTMNT03_339583,LCK,2026-01-22T08:05:25+00:00,25,5960.0,4545.0,129.0,0,0.900410812888168,1
LOLTMNT03_339592,LCK,2026-01-22T09:06:13+00:00,10,-735.0,-840.0,-17.0,0,0.904121784368281,0
LOLTMNT03_339592,LCK,2026-01-22T09:06:13+00:00,15,-2865.0,-2415.0,-24.0,-3,0.904121784368281,0
LOLTMNT03_339592,LCK,2026-01-22T09:06:13+00:00,20,-2818.0,-3035.0,-37.0,-4,0.904121784368281,0
LOLTMNT03_339592,LCK,2026-01-22T09:06:13+00:00,25,-894.0,-567.0,-36.0,-2,0.904121784368281,0
LOLTMNT03_339605,LCK,2026-01-22T10:02:22+00:00,10,-744.0,-507.0,-28.0,0,0.183939619889009,0
LOLTMNT03_339605,LCK,2026-01-22T10:02:22+00:00,15,-1487.0,-1098.0,-31.0,0,0.183939619889009,0
LOLTMNT03_339605,LCK,2026-01-22T10:02:22+00:00,20,-5842.0,-3468.0,-51.0,-5,0.183939619889009,0
LOLTMNT03_339605,LCK,2026-01-22T10:02:22+00:00,25,-5382.0,-1294.0,-66.0,-4,0.183939619889009,0
LOLTMNT03_339627,LCK,2026-01-22T11:14:53+00:00,10,-5.0,-355.0,4.0,-1,0.854568324699363,1
LOLTMNT03_339627,LCK,2026-01-22T11:14:53+00:00,15,-2117.0,-3150.0,-19.0,-4,0.854568324699363,1
LOLTMNT03_339627,LCK,2026-01-22T11:14:53+00:00,20,-595.0,-1827.0,0.0,-3,0.854568324699363,1
LOLTMNT03_339627,LCK,2026-01-22T11:14:53+00:00,25,-450.0,966.0,0.0,-5,0.854568324699363,1
LOLTMNT03_340003,LCK,2026-01-22T12:11:59+00:00,10,-894.0,-554.0,3.0,-1,0.862650261582801,1
LOLTMNT03_340003,LCK,2026-01-22T12:11:59+00:00,15,-1148.0,-1171.0,-13.0,0,0.862650261582801,1
